gene_id,longest_refseq_transcript_id,longest_refseq_length,longest_ucsc_transcript_id,longest_ucsc_length
LOC124902487,XR_007062255.1,7401,XR_007062255.1,7401
SNORA115,NR_145792.2,144,NR_145792.2,144
ZNF593OS,NM_001395468.1,2312,NM_001395468.1,2312
OR4Q3,XM_024449618.1,7595,XM_024449618.1,7595
APOC4-APOC2,NR_037932.1,7328,NR_037932.1,7328
LOC101930420,NR_172933.1,139540,NR_172933.1,139827
LOC105373206,XR_949283.4,3767,XR_949283.4,3767
LOC107986110,XR_001740838.3,4374,XR_001740838.3,4374
LOC105375623,NR_188044.1,31769,NR_188044.1,31769
LOC107986196,XR_001741442.2,16885,XR_001741442.2,16885
MIR429,NR_029957.1,83,NR_029957.1,83
PIGP,NM_153682.3,7698,NM_001320480.2,7698
UBE3D,XM_017011458.3,185040,XM_017011458.3,185040
USP32P2,NR_003554.1,9991,NR_003554.1,9991
LOC105370343,XR_001749998.1,24019,XR_001749998.1,24019
LOC124904901,XR_007067582.1,4709,XR_007067582.1,4709
GOLGA6L9,XM_047432539.1,23231,XM_047432539.1,23231
STXBP5-AS1,NR_034115.1,363227,NR_034115.1,363227
TMEM216,NM_016499.6,6260,NM_001173990.3,6260
LOC105378959,XR_948315.2,26703,XR_948315.2,26703
ABCD2,XM_017018992.3,88779,XM_017018992.3,88779
LOC105371301,XR_933655.2,5476,XR_933655.2,5476
SMIM27,NR_146061.1,14627,NR_146063.1,14627
GIMAP4,NM_001363532.2,6564,NM_018326.3,6564
MOCS2-DT,NR_034107.2,5285,NR_104654.1,5285
LOC102724082,XR_007062079.1,19800,XR_007062079.1,19800
LOC105371006,NR_188334.1,47150,NR_188334.1,47150
BOLA3-DT,NR_045634.1,4409,NR_045636.1,4409
ANXA2,NM_004039.3,50836,NM_001002858.3,50836
LOC728485,NR_164116.1,3926,NR_164115.1,3926
TRIM45,XM_047430914.1,12868,XM_047430914.1,12868
CELF5,XR_430147.2,72416,XM_006722833.2,72416
NIPSNAP1,NM_001202502.2,26306,NM_003634.4,26306
CCL13,NM_005408.3,2131,NM_005408.3,2131
OR4P4,NM_001405919.1,5197,NM_001405919.1,5197
LOC107984563,XR_001749983.2,1475,XR_001749983.2,1475
LINC02079,NR_135645.1,396,NR_135645.1,396
GASK1A,NM_001129908.3,78405,NM_001129908.3,78405
VWF,NM_000552.5,175794,NM_000552.5,175794
RNFT2,NM_001382266.1,115317,NM_032814.4,115317
BRMS1,XM_024448426.2,7766,NM_015399.4,7766
MIR5587,NR_049852.1,53,NR_049852.1,53
LINC01449,NR_110832.1,31898,NR_110832.1,31898
SEMA4G,XR_007061978.1,16113,NM_001393925.1,16113
LINC02200,NR_104672.1,2486,NR_104672.1,2486
CELA2B,NM_015849.3,15292,NM_015849.3,15292
LOC100422781,NR_147505.1,8581,NR_147505.1,8581
LOC107985482,XR_001754957.1,7973,XR_001754957.1,7973
AGAP11,NR_171046.1,39891,NR_171046.1,39891
LOC254896,NR_046173.1,19204,NR_046173.1,19204
DENND2A,NM_001318052.2,122394,NM_015689.5,122394
ARHGAP44,NR_135569.2,202146,NM_001321168.2,202146
GLIPR1L2,NR_072995.2,41600,XM_011537949.2,41600
PHACTR3,NM_001199505.1,270203,XM_017027628.2,270203
LOC124903854,XR_007065483.1,15322,XR_007065483.1,15322
LOC105370432,XR_943713.2,9755,XR_943713.2,9755
ZFAND1,NR_033195.1,19974,NM_001170796.1,19974
PPP1R2,NR_133014.2,28898,NM_001316325.2,28898
LOC101927847,NR_109791.1,18071,NR_109791.1,18071
APOBEC1,NM_001304566.1,21200,NM_001304566.1,21200
NDUFA4L2,NM_020142.4,5860,NM_020142.4,5860
GPR34,NM_001097579.2,8303,NM_005300.4,8303
C4B,NM_001002029.4,20624,NM_001002029.4,20625
METTL27,XR_001744563.2,7927,XM_017011778.2,7927
LOC105379266,XR_949068.1,2252,XR_949068.1,2252
TMEM38B,NM_018112.3,82089,XM_011518832.4,82089
LOC107984118,XR_007059059.1,6891,XR_007059059.1,6891
MAML1,NM_014757.5,44462,NM_014757.5,44476
LOC105371972,XR_935116.4,13721,XR_935116.4,13721
LOC101929762,NR_125931.1,19872,NR_125931.1,19872
CRYBB2P1,NR_033733.1,13592,NR_033734.1,13592
ZC3HAV1L,XM_011516688.4,14545,XM_011516688.4,14545
LOC105373419,XR_922779.2,807,XR_922779.2,807
LOC124901145,XR_007059073.1,3797,XR_007059073.1,3797
DEFB107A,NM_001037668.1,3997,NM_001037668.1,13463
LOC107987056,XR_001746637.2,52442,XR_001746637.2,52442
LOC105369489,XR_948009.2,21637,XR_948009.2,21637
LOC105370583,XR_001751001.3,34774,XR_001751001.3,34774
LOC124903555,XR_007064758.1,2619,XR_007064758.1,2619
NACC1,XM_005259721.4,24296,XM_005259721.4,24296
TIMM23,NR_073029.2,31254,NM_006327.4,31254
FFAR1,NM_005303.3,5963,NM_005303.3,5963
LOC101927822,NR_125424.1,15912,NR_125424.1,15912
NKAPL,NM_001007531.3,1662,NM_001007531.3,1662
LOC105374853,XR_007087133.1,8071,XR_007087133.1,8071
VWA2,XM_047425155.1,55247,XM_047425155.1,55247
FAM131B-AS1,NR_183342.1,2560,NR_183342.1,2560
LOC105372675,XR_936882.4,11559,XR_936882.4,11559
LGALS3,NM_001357678.2,16172,NM_002306.4,16172
LINC00339,NR_023918.2,6034,NR_023918.2,6034
LINC01424,NR_109928.1,2477,NR_109928.1,2477
SLC11A2,XR_001748720.2,75980,XR_001748720.2,75980
SWI5,NM_001379267.1,13634,NM_001318092.2,13634
AANAT,NM_001166579.2,16767,NM_001166579.2,16767
LINC02099,NR_125815.1,50184,NR_125814.1,50184
LINC02166,NR_184150.1,4406,NR_184152.1,4406
TMEM151B,NM_001137560.2,8995,NM_001137560.2,8995
ZFAND3-DT,XR_001744107.2,3074,XR_007059569.1,3074
PACRG-AS2,NR_110871.1,11182,NR_110871.1,11182
GLT8D1,XM_047448569.1,11306,XM_047448566.1,11306
LOC107986668,XR_001744463.3,4346,XR_001744462.2,4346
MIR518A2,NR_030213.1,87,NR_030213.1,87
KLK3,NM_001030047.1,5850,NM_001030048.1,5850
OR10A2,NM_001004460.2,11661,NM_001004460.2,11661
LOC107987412,XR_001756333.1,6780,XR_001756333.1,6780
SPINK7,NM_032566.3,3497,NM_032566.3,3497
SAMD15,NM_001010860.4,14785,NM_001010860.4,14785
TMEM52B,NM_001384894.1,21292,NM_001384898.1,21292
HAGLROS,NR_110457.1,844,NR_110457.1,844
MYBL2,NM_002466.4,49369,NM_001278610.2,49369
LOC102724446,NR_188589.1,75216,NR_188589.1,75216
LINC02714,NR_147836.1,27867,NR_147836.1,27867
LOC105378438,XR_946215.2,6773,XR_946215.2,6773
SNCA-AS1,NR_045481.1,5591,NR_045481.1,5591
ESRG,NR_027122.1,7734,NR_027122.1,7734
LOC124905235,XR_007068365.1,2851,XR_007068365.1,2851
PEX3,NM_003630.3,39812,NM_003630.3,39812
KRTAP10-3,NM_198696.3,1006,NM_198696.3,1006
LOC105375659,XR_007061023.1,50787,XR_007061023.1,50787
IFNL1,NM_172140.2,2267,NM_172140.2,2267
PLIN5,NM_001013706.3,12694,NM_001013706.3,12694
FLJ39095,NR_147502.1,5051,NR_147502.1,5051
LOC107987292,XR_007067921.1,2914,XR_007067921.1,2914
DMRTC1,NR_170342.1,71813,NM_033053.3,71813
SNORD116-12,NR_003327.2,94,NR_003327.2,94
SPATA42,NR_034168.1,1308,NR_034168.1,1308
LINC01595,XR_936005.3,6072,XR_936006.3,6072
MIR512-2,NR_030181.1,98,NR_030181.1,98
LOC124901493,XR_007059926.1,16404,XR_007059926.1,16404
LOC107984596,XR_001749861.1,11577,XR_001749861.1,11577
LOC105372518,XR_937232.1,26644,XR_937233.1,26644
LINC00881,NR_034008.1,11255,NR_034008.1,11255
LOC124902111,XR_007061400.1,1347,XR_007061400.1,1347
NDFIP2,NM_019080.3,74923,NM_001394685.1,74923
MIR3115,NR_036057.1,68,NR_036057.1,68
FAM74A4,NR_110998.1,7114,NR_026802.1,7114
TBX4,NM_001321120.2,32689,NM_001321120.2,32689
TSPYL4,NM_021648.5,4112,NM_021648.5,4112
EIF4EBP1,NM_004095.4,29832,NM_004095.4,29832
KIAA0319L,XM_006710909.3,124170,XM_017002369.3,124170
SNORD102,NR_002574.1,72,NR_002574.1,72
SOCS5,NM_014011.5,64193,NM_014011.5,64193
IMPA2,NM_014214.3,49371,NM_014214.3,49371
HAUS1,NR_026978.2,23949,NM_138443.4,23949
LINC02069,NR_110043.1,16767,NR_110043.1,16767
LOC105369249,XR_929633.1,3704,XR_929633.1,3704
ADAM3B,NR_144553.1,940,NR_144553.1,940
SNORA11F,NR_145776.1,128,NR_145776.1,128
HCG11,NR_026790.1,5688,NR_026790.1,5688
LINC00595,NR_073447.2,12872,NR_073447.2,12872
LOC124902502,XR_007062291.1,1714,XR_007062291.1,1714
TANC1,NM_001350065.2,264020,XM_047446122.1,264020
CDH15,NM_004933.3,23745,NM_004933.3,23745
MIR760,NR_030621.1,80,NR_030621.1,80
FKBP1A-SDCBP2,NR_037661.1,83264,NR_037661.1,83264
LOC105377524,XR_007058356.1,29038,XR_939424.3,29038
MIR1183,NR_031594.1,89,NR_031594.1,89
SMIM8,NM_001042493.3,19742,NM_001287445.2,19742
OR8B4,NM_001005196.1,930,NM_001005196.1,930
SLC12A2,NR_046207.2,105912,NM_001256461.2,105912
LOC105374654,XR_925791.3,22819,XR_925791.3,22819
CDRT15P1,NR_003261.1,1101,NR_003261.1,1101
LINC02948,XR_001745861.2,2997,XR_001745861.2,2997
MIR4700,NR_039849.1,74,NR_039849.1,74
ORMDL3,XM_047437093.1,6561,XM_047437094.1,6561
MIR222HG,NR_170290.1,25054,NR_170290.1,25054
HEATR5A-DT,NR_110045.1,32126,NR_110045.1,32126
LOC100288728,NR_147912.1,41967,NR_147912.1,41967
APOE,NM_001302688.2,3598,NM_000041.4,3598
APBA2,NM_001379685.1,232342,XM_054331783.1,232923
LOC105372471,XR_007067351.1,2606,XR_007067351.1,2606
LINC01770,NR_125996.1,4417,NR_125994.1,4417
LINC02622,NR_134313.1,16589,NR_134313.1,16589
ASMT,NM_001171038.2,28023,NM_001416525.1,28023
LOC124902997,XR_007063424.1,978,XR_007063424.1,978
UGT2B17,NM_001077.4,39150,NM_001077.4,39150
LOC124904904,XR_007067587.1,7819,XR_007067587.1,7819
LOC93463,NR_135202.1,7569,NR_135202.1,7569
ZNF354C,XM_017009409.2,23605,NM_014594.3,23605
RNF123,NR_135218.2,31973,NM_022064.5,31973
SET,NM_001374326.1,12973,NM_001374326.1,12973
SHC2,NM_001387056.1,44445,NM_012435.3,44445
LOC124900821,XR_007058399.1,9590,XR_007058399.1,9590
LOC105374295,XR_007096224.1,1043,XR_007096224.1,1043
CHTOP,NM_001206612.2,12241,NM_001244664.2,12241
LOC110091776,NR_146644.1,24432,NR_146644.1,24432
LOC105374521,XR_007058431.1,11559,XR_007058431.1,11559
LOC107985983,XR_001739877.2,20791,XR_001739877.2,20791
NANOS2,NM_001029861.3,1565,NM_001029861.3,1565
DPYD-AS2,NR_046591.1,1131,NR_046591.1,1131
ME1,NM_002395.6,220650,NM_002395.6,220650
FAM111A,NM_001374863.1,12184,NM_001374856.1,12184
LOC105370256,XR_942064.1,42020,XR_942064.1,42020
LOC105375999,XR_001746566.2,155489,XR_001746566.2,155489
MIR30A,NR_029504.1,71,NR_029504.1,71
MIR613,NR_030344.1,95,NR_030344.1,95
CLUAP1,XM_047433797.1,43622,XM_047433797.1,43622
TMEM202-AS1,NR_135678.1,66461,NR_135678.1,66461
LOC105370300,XR_931621.3,90882,XR_931621.3,90882
ZMAT1,NM_001394560.1,49738,NM_001011657.4,49738
LOC105370449,XR_007064114.1,12320,XR_007064114.1,12320
COL9A2,NM_001852.4,16798,XM_017000332.2,16798
LOC124902832,XR_007063017.1,103,XR_007063017.1,103
VSTM5,XR_001747865.2,32387,NM_001144871.2,32387
UCKL1-AS1,NR_027287.2,3602,NR_027287.2,3602
LOC102723709,NR_121606.1,2057,NR_121606.1,2057
NIHCOLE,XR_001742526.3,24555,XR_001742526.3,24555
LOC124904633,XR_007067131.1,20881,XR_007067131.1,20881
SEMG1,NM_003007.5,2736,NM_003007.5,2736
LOC105374122,XR_924528.4,161587,XR_924527.4,161587
LOC107985423,XR_001754452.2,5895,XR_001754452.2,5895
CD8A,NM_001145873.1,23792,NM_001145873.1,23792
PLEKHG6,NM_018173.4,18175,NM_001384604.1,18175
LOC105379237,XR_002956671.2,2368,XR_002956671.2,2368
PNPLA2,NM_020376.4,6660,NM_020376.4,6660
XIAP,NR_165803.1,54265,NM_001378592.1,54265
FARP1,NM_001286839.2,312588,NM_001286839.2,312588
LOC124904129,XR_007066006.1,100,XR_007066006.1,100
LOC105373150,NR_188591.1,246359,NR_188591.1,246359
TNRC18P1,NR_077215.1,1890,NR_077215.1,1890
ISLR,NM_005545.4,3162,NM_005545.4,3162
LOC105376873,XR_935614.2,21851,XR_935614.2,21851
LOC101927020,NR_125839.1,8964,NR_125839.1,8964
LINC01503,NR_120685.1,10555,NR_120686.1,10555
ZBTB39,NM_014830.3,7711,NM_014830.3,7711
LOC105377733,XR_941247.2,12258,XR_941247.2,12258
LOC105371634,XR_007066756.1,5124,XR_007066752.1,5124
LOC105379265,XR_949066.1,8547,XR_949066.1,8547
CYMP,NR_003599.2,10504,NR_003599.2,10504
PRPF4,NR_136265.2,17248,NM_001244926.2,17248
DERL1,NM_001330601.2,29133,NM_024295.6,29133
SERPINB12,XM_005266778.4,50220,XM_005266778.4,50220
BEND4,NM_001159547.2,41803,NM_207406.4,41803
SATL1,NM_001367857.2,151496,NM_001367858.2,151496
FBXO46,NM_001329633.2,22549,NM_001329633.2,22549
MIR6780A,NR_106838.1,68,NR_106838.1,68
DMC1,XM_011529835.3,61037,XM_047441075.1,61037
LOC105376398,NR_134492.1,21645,NR_134492.1,21645
MIR219B,NR_039815.1,88,NR_039815.1,88
LOC105378347,XR_946039.3,12053,XR_946039.3,12053
CASC6,NR_104154.1,61389,NR_104154.1,61389
TBC1D13,NM_018201.5,23178,XM_005252060.3,23178
LINC01581,NR_120320.1,202536,NR_120320.1,202536
LOC105378798,NR_188687.1,67508,NR_188685.1,67508
LOC105376204,XR_005646978.2,7560,XR_005646978.2,7560
LOC107985871,XR_007086290.1,39851,XR_007086290.1,39851
PIH1D1,NM_017916.3,5517,NM_017916.3,5517
TOR3A,NM_022371.4,13927,NM_022371.4,13927
LOC101929473,NR_120578.1,34305,NR_120578.1,34305
LOC107986275,XR_001741677.3,23196,XR_001741677.3,23196
SLC35C2,NM_001281458.2,18442,NM_001281460.2,18442
LOC105375505,XR_927971.3,1473,XR_927972.3,1473
LOC107986018,XR_001740441.2,63442,XR_001740441.2,63442
RHBDL2,NM_017821.5,56024,NM_017821.5,56024
FAM187B,NM_152481.2,3940,NM_152481.2,3940
LOC124903287,XR_007064076.1,1395,XR_007064076.1,1395
LOC105378948,NR_168432.1,3703,NR_168433.1,3703
C2orf49,XR_007081585.1,48360,XR_007081586.1,48360
LOC105369709,XR_931459.3,12792,XR_931459.3,12792
ELL2,NM_012081.6,76754,NM_012081.6,76754
LOC105379002,XR_007058795.1,7793,XR_007058796.1,7793
PIGB,NM_004855.5,36427,XM_005254795.6,36427
SPANXA1,NM_013453.3,1065,NM_013453.3,1065
MIR3605,NR_037400.1,100,NR_037400.1,100
GOLGA6L17P,NR_111962.1,6895,NR_111962.1,6895
ATRN,NM_139321.3,180101,NM_139321.3,180101
MRPS33,NM_053035.3,12343,NM_053035.3,12343
LOC102724849,NR_110607.1,10165,NR_110607.1,10165
ASTN2-AS1,NR_033973.1,58011,NR_033973.1,58011
NBPF14,NM_001395631.1,64627,NM_001395631.1,64627
FGF13-AS1,NR_038405.1,4499,NR_038405.1,4499
LOC102724523,XR_429709.3,1256,XR_429709.3,1256
ZNF483,XM_047422864.1,52958,NM_001007169.6,52958
LINC02854,XR_001745019.2,21029,XR_001745019.2,21029
XPO1,XM_047445764.1,60764,XM_011533097.2,60764
DACH1,NM_004392.7,429239,NM_001366712.1,429239
DNAJC28,NM_001320746.3,3662,NM_001040192.3,3663
LOC124909484,XM_047449434.1,1120,XM_047449434.1,1120
LOC107986057,XR_001740582.2,8860,XR_001740582.2,8860
MIR326,NR_029891.1,95,NR_029891.1,95
PTPRS-AS1,NR_186338.1,719,NR_186338.1,719
CACNB4,NM_001145798.2,266397,NM_001145798.2,266397
LOC107987370,XR_001756129.1,16066,XR_001756129.1,16066
LOC105374721,XR_925916.3,5384,XR_925916.3,5384
MIR1236,NR_031601.1,102,NR_031601.1,102
CBS,XM_047441030.1,23683,XM_047441025.1,23683
MIR718,NR_031757.1,70,NR_031757.1,70
LOC124905021,XR_007067870.1,1328,XR_007067870.1,1328
LOC101927741,XR_007088047.1,81319,XR_007088047.1,81319
LINC01106,NR_027244.1,9428,NR_027244.1,9428
CACNA2D1-AS1,NR_110076.1,20779,NR_110077.1,20779
TEKTIP1,NM_001135580.2,4857,NM_001135580.2,4857
ZBTB11-AS1,NR_024407.1,2788,NR_024407.1,2788
ADAMTSL4-AS1,NR_104133.1,13658,NR_104133.1,13658
LOC105374948,XR_926530.3,4171,XR_926530.3,4171
LOC124901490,XR_007059923.1,1782,XR_007059923.1,1782
METTL2B,NM_018396.3,29855,NM_018396.3,29855
MMP2-AS1,NR_147198.1,35501,NR_147198.1,35501
UBA6-DT,NR_015439.1,21228,NR_015439.1,21228
ETV6,XM_047428502.1,245704,NM_001413915.1,245704
LOC105374828,XR_940293.3,929,XR_940293.3,929
MIR4538,NR_130467.1,78,NR_130467.1,78
KRTAP13-1,NM_181599.3,792,NM_181599.3,792
GLS,NM_014905.5,84732,XM_006712435.1,84732
TSG101,NM_006292.4,46632,XM_005253108.5,46632
JMJD1C-AS1,NR_027182.1,1335,NR_027182.1,1335
RHOF,NM_019034.3,15935,NM_019034.3,15935
LOC124902424,XR_007062144.1,6404,XR_007062144.1,6404
LOC124905240,XR_007068385.1,2964,XR_007068385.1,2964
LOC101930421,NR_147612.1,2692,NR_147612.1,2692
LOC124901895,XR_007060837.1,1725,XR_007060837.1,1725
LINC01999,NR_126009.1,22075,NR_126009.1,22075
ADGRL3-AS1,NR_110595.1,90011,NR_110595.1,90011
LOC107987014,NR_171890.1,2305,NR_171890.1,2305
SNORA80E,NR_002974.1,134,NR_002974.1,134
RNF125,XM_011526045.4,69320,XM_011526047.4,69320
LOC105379176,NR_134248.1,3545,NR_134248.1,3545
MED13,XM_011525551.3,122674,NM_005121.3,122674
NEUROD2,NM_006160.4,4153,NM_006160.4,4153
LOC124902240,XR_007061716.1,25709,XR_007061716.1,25709
INSYN1,NM_001303254.2,17894,NM_001384351.1,17894
LOC107985700,XR_001755913.1,2032,XR_001755913.1,2032
LOC100127955,XR_108730.5,9116,XR_108730.5,9116
LOC124901538,XR_007059969.1,101,XR_007059969.1,101
LOC124905362,XR_007068718.1,15453,XR_007068718.1,15453
LINC02455,NR_187480.1,44021,NR_187480.1,44021
LOC124909364,XR_007095864.1,8541,XR_007095864.1,8541
HOTTIP,NR_037843.3,6839,NR_037843.3,6839
LDHB,NM_001414234.1,22501,NM_001174097.3,22501
MTNR1A,NM_005958.4,21913,NM_005958.4,21913
TSIX,NR_003255.2,37027,NR_003255.2,37027
LOC105372928,XR_001737822.1,6769,XR_922615.1,6769
MIR378H,NR_039667.1,83,NR_039667.1,83
GAR1-DT,NR_186620.1,2464,NR_186620.1,2464
LDHA,NR_028500.2,13863,NM_001135239.2,13863
KIRREL1,XM_047424310.1,106618,NM_001286349.2,106618
GPC4,NM_001448.3,115387,NM_001448.3,115387
LY6G6F-LY6G6D,NM_001353334.2,11054,NM_001353334.2,11058
ND3,unassigned_transcript_4808,346,YP_003024033.1,346
VAMP5,NM_006634.3,8976,NM_006634.3,8976
ATXN2L,NM_001387171.1,14234,NM_001387203.1,14234
SFXN3,NR_170876.1,10008,NM_001388034.1,10008
ARHGAP27P1-BPTFP1-KPNA2P3,NR_026899.1,32338,NR_026899.1,32338
TJAP1,NR_146793.2,28985,NM_001146020.2,28985
KLK12,NM_001370127.1,5909,NM_145894.2,5909
LOC105376497,XR_930827.3,1162,XR_930827.3,1162
ZNF891,NM_001277291.2,25496,NM_001277291.2,25496
SGCZ,NM_001322881.2,1153587,NM_139167.4,1153587
CRYGS,NM_017541.4,5938,NM_017541.4,5938
TMSB15B-AS1,NR_146557.1,37802,NR_146557.1,37802
IL1B,NM_000576.3,7029,NM_000576.3,7029
LOC105377442,XR_939223.3,3475,XR_939223.3,3475
GRM5-AS1,NR_049724.1,19479,NR_049724.1,19479
SLCO4A1-AS1,NR_024470.1,3595,NR_024470.1,3595
LOC101927661,NR_110568.1,31167,NR_110568.1,31167
LOC107985664,XR_007068273.1,270484,XR_007068273.1,270484
LINC02177,NR_135195.1,52506,NR_135195.1,52506
LOC124904651,XR_007067159.1,197,XR_007067159.1,197
LOC105375855,XR_928920.3,88963,XR_928920.3,88963
COL23A1,XM_011534691.3,352776,XM_006714933.4,352776
LOC105374296,XR_001741088.2,2040,XR_001741088.2,2040
ALAD,XM_047422947.1,14973,XM_047422945.1,14973
DDX42,XM_047435282.1,45518,XM_047435281.1,45518
RAET1E,NM_001394056.1,14935,NM_001394057.1,14935
HOXD9,NM_014213.4,2219,NM_014213.4,2219
DHDDS,XM_047430849.1,38986,NM_001243565.2,38986
LOC105373069,XR_001755590.2,20676,XR_001755590.2,20676
LOC105379167,XR_948768.3,18815,XR_948768.3,18815
NICN1,NM_032316.3,6992,NM_032316.3,6992
LOC105373954,XR_924039.3,8752,XR_924039.3,8752
EFL1,NR_136410.2,132502,NM_024580.6,132502
LOC124903018,XR_007063461.1,11135,XR_007063461.1,11135
LOC105373512,XR_923109.4,3977,XR_923109.4,3977
LOC124904767,XR_007067336.1,1204,XR_007067336.1,1204
EGR1,NM_001964.3,3825,NM_001964.3,3825
FAM89A,NM_198552.3,21297,NM_198552.3,21297
TGFA-IT1,NR_046798.1,14256,NR_046798.1,14256
CPPED1,NM_001099455.2,144089,NM_018340.3,144089
LOC107986414,XR_007058740.1,12304,XR_007058740.1,12304
MFSD10,NM_001363679.2,4259,NM_001410703.1,4259
LINC00841,NR_136147.1,71970,NR_136147.1,71970
MIR7156,NR_106978.1,60,NR_106978.1,60
TNFRSF10A,NM_003844.4,34651,NM_003844.4,34651
LINC01377,NR_104617.1,3398,NR_104617.1,3398
KBTBD11-AS1,NR_136275.1,2167,NR_136274.1,2167
OR51E2,NM_030774.4,17683,NM_030774.4,17683
LOC105378029,XR_943077.3,47734,XR_943077.3,47734
LOC124902809,XR_007062966.1,2607,XR_007062966.1,2607
PMM1,XM_011530231.4,12941,XM_011530229.3,12941
RAI2,NM_001172732.2,61250,XM_006724459.3,61250
SUPT6H,XM_047436596.1,40475,NM_003170.5,40475
RESF1,XM_011520722.2,33693,XM_005253405.4,33693
LINC02361,NR_146452.1,2961,NR_146452.1,2961
H3-4,NM_003493.3,516,NM_003493.3,516
LOC105377270,XR_938859.2,13975,XR_938859.2,13975
GARIN2,XM_047431033.1,39119,XM_011536503.3,39119
SRGAP3-AS4,NR_146969.1,7752,NR_146969.1,7752
LINC03051,NR_182298.1,120212,NR_182298.1,120212
OSGIN1,NM_182981.3,13093,NM_182981.3,13093
LOC105372960,XR_938082.3,8446,XR_938082.3,8446
LOC101929935,NR_135111.1,17528,NR_135111.1,17528
SCARF1,NR_028075.3,11875,NM_003693.4,11875
AFAP1,NM_001371091.1,181149,NM_001371091.1,181149
LOC124900185,XR_007058532.1,123,XR_007058532.1,123
TMEM196,NM_001366628.1,54303,NM_001366625.1,54303
LOC105377457,XR_001741433.2,22806,XR_001741433.2,22806
ARSH,NM_001011719.2,27566,NM_001011719.2,27566
LOC105373443,XR_939751.2,3409,XR_001739183.1,3409
LOC105369811,XR_945040.3,14696,XR_007063352.1,14696
SEC16A,XM_047424252.1,44636,XM_047424226.1,44636
BPY2B,NM_001002760.1,21204,NM_001002760.1,21204
KIR3DL1,NM_013289.4,14311,NM_001322168.1,14362
LINC01433,NR_033917.1,2864,NR_033917.1,2864
LCT-AS1,NR_045486.1,2897,NR_045486.1,2897
LOC124902801,XR_007062964.1,1034,XR_007062964.1,1034
LOC124900946,XR_007058706.1,35367,XR_007058706.1,35367
LCE1F,NM_178354.3,1885,NM_178354.3,1885
PMS2P7,NR_130940.1,10296,NR_130940.1,10296
LOC101927971,XR_245776.5,9027,XR_001750993.2,9027
SNORA30B,NR_145762.1,129,NR_145762.1,129
FAM157C,NR_126161.1,75343,NR_126161.1,75343
LINC01684,NR_135519.1,119203,NR_135519.1,119203
PRUNE1,NR_130135.2,27265,XM_011509832.3,27265
DEFB106B,NM_001040704.2,3897,NM_001040704.2,3935
LOC105375006,XR_001744077.2,1987,XR_001744077.2,1987
LOC101929128,NR_125431.1,13860,NR_125431.1,13860
CPVL,NM_001371268.1,200632,NM_001371257.1,200632
LINC02225,NR_109900.1,8832,NR_109900.1,8832
SAP30BP-AS1,NR_186496.1,1257,NR_186496.1,1257
LOC124907975,XR_007088075.1,8314,XR_007088075.1,8314
TMEM60,NM_032936.4,4707,NM_032936.4,4707
FOLR1,NM_016724.3,6591,NM_016725.3,6591
KRTAP2-4,NM_033184.4,764,NM_033184.4,764
LOC124907874,XM_047446749.1,10413,XM_047446749.1,10413
NR1H4,NR_135146.2,90549,NM_001206978.2,90549
SRRM2,NM_016333.4,18775,NM_016333.4,18775
SYT15-AS1,NR_155739.1,15978,NR_155739.1,15978
RCAN1,NM_004414.7,98672,NM_004414.7,98672
LOC124905010,XR_007067844.1,7435,XR_007067844.1,7435
CILP,NM_003613.4,16714,NM_003613.4,16714
CORO7,NM_001201473.2,62055,NM_024535.5,62055
IFT74,NM_001099223.3,119025,NM_001099223.3,119025
MIR6866,NR_106926.1,69,NR_106926.1,69
LOC105379243,XR_948962.4,14138,XR_007069080.1,15474
BBS12,XM_011531680.3,44498,XM_011531680.3,44498
SNORD113-3,NR_003231.1,71,NR_003231.1,71
LOC124906135,XR_007088704.1,62,XR_007088704.1,62
RWDD2B,NM_016940.3,14966,NM_001320724.2,14966
ANAPC1P2,NR_026846.1,45739,NR_026846.1,45739
MIR7515HG,NR_110497.1,1413,NR_110497.1,1413
GFY,NM_001385187.1,5241,NM_001385187.1,5241
LOC105371512,XR_934191.3,9517,XR_934191.3,9517
MIR3144,NR_036098.1,79,NR_036098.1,79
SCPPPQ1,NM_001405228.1,10249,NM_001405228.1,10249
ASXL3,XM_005258356.2,172977,NM_030632.3,172977
LOC112268436,XR_002959475.1,2559,XR_002959475.1,2559
LOC105374438,NR_188377.1,37090,NR_188376.1,37090
GOLGA7B,NM_001010917.3,21736,NM_001010917.3,21736
LOC105378066,NR_187985.1,122515,NR_187984.1,122515
FAM90A12,NM_001423531.1,3011,NM_001423531.1,3011
TAFA3,NR_169586.1,8331,NM_182759.3,8331
LCE1A,NM_178348.2,625,NM_178348.2,625
FBXO44,XR_007064919.1,8921,NM_183412.3,8921
RNF170,NM_001160224.2,46969,NM_001160224.2,46969
SLC2A9,XM_011513858.2,257991,XM_047415973.1,257991
LOC107987234,XR_001752091.2,17956,XR_001752091.2,17956
LOC105369915,XR_001749264.2,31167,XR_945226.2,31167
COG2,NM_007357.3,51502,NM_001145036.2,51502
RASSF2,XM_017028153.2,43586,XM_017028152.2,43586
AMZ1,XM_011515151.4,85617,XM_011515151.4,85617
PARK7,XM_005263424.4,23795,NM_001123377.2,23795
MIR199A1,NR_029586.1,71,NR_029586.1,71
UBE2F,NR_103500.2,75769,NM_001278306.2,75769
LOC105374090,XR_924455.2,48528,XR_924455.2,48528
